,month,ghp,min_tem,max_tem,ave_tem,var_tem,min_rhu,max_rhu,ave_rhu,var_rhu
0,04,0.0,2.6003210485879915,28.23980164365702,13.870310451668296,20.672057976613356,9.498739319721556,93.13488906479175,45.31103993249225,450.20779741818114
1,04,25.0,2.4740202081344727,28.064028123763183,13.77291388853484,20.13898718188884,9.613981561241356,93.24198286499197,45.183698340756386,444.76412619215097
2,04,50.0,2.347719367680954,27.888254603869346,13.675517325401394,19.64210692952653,9.729223802761158,93.34907666519219,45.0563567490205,439.9709442817079
3,04,75.0,2.2214185272274345,27.712481083975508,13.578120762267938,19.18141721952643,9.747524270714502,93.4561704653924,44.92901515728464,435.82825168685156
4,04,100.0,2.0951176867739156,27.53670756408167,13.480724199134489,18.756918051888533,9.742285987009057,93.56326426559262,44.80167356554877,432.3360484075824
5,04,125.0,1.9688168463203968,27.360934044187832,13.383327636001042,18.368609426612856,9.737047703303611,93.67035806579284,44.67433197381291,429.4943344439001
6,04,150.0,1.842516005866878,27.185160524293998,13.285931072867584,18.01649134369938,9.731809419598166,93.77745186599306,44.54699038207704,427.30310979580474
7,04,175.0,1.7162151654133588,27.00938700440016,13.188534509734133,17.700563803148103,9.726571135892721,93.88454566619328,44.41964879034121,425.7623744632964
8,04,200.0,1.58991432495984,26.833613484506323,13.091137946600686,17.42082680495905,9.721332852187274,93.9916394663935,44.29230719860533,424.8721284463752
9,04,225.0,1.463613484506321,26.657839964612485,12.993741383467224,17.177280349132193,9.716094568481829,94.09873326659373,44.16496560686949,424.63237174504076
10,04,250.0,1.337312644052802,26.482066444718647,12.896344820333775,16.969924435667547,9.710856284776384,94.20582706679394,44.03762401513362,425.04310435929347
11,04,275.0,1.2110118035992832,26.30629292482481,12.798948257200317,16.79875906456511,9.705618001070938,94.31292086699416,43.91028242339774,426.10432628913304
12,04,300.0,1.0847109631457643,26.130519404930972,12.701551694066865,16.663784235824874,9.700379717365493,94.42001466719438,43.782940831661875,427.8160375345595
13,04,325.0,0.9584101226922452,25.954745885037134,12.604155130933417,16.564999949446854,9.695141433660048,94.5271084673946,43.655599239926026,430.1782380955729
14,04,350.0,0.8321092822387264,25.778972365143296,12.506758567799967,16.50240620543104,9.689903149954603,94.63420226759482,43.52825764819015,433.1909279721733
15,04,375.0,0.7058084417852073,25.60319884524946,12.40936200466651,16.476003003777432,9.684664866249156,94.74129606779503,43.400916056454285,436.8541071643609
16,04,400.0,0.5795076013316882,25.42742532535562,12.311965441533065,16.48579034448603,9.67942658254371,95.04241263706842,43.27357446471842,441.1677756721352
17,04,425.0,0.45320676087816936,25.251651805461783,12.214568878399614,16.53176822755684,9.674188298838265,95.4603112704584,43.146232872982566,446.13193349549664
18,04,450.0,0.3269059204246505,25.07587828556795,12.117172315266153,16.613936652989853,9.66895001513282,95.87820990384839,43.01889128124673,451.7465806344451
19,04,475.0,0.20060507997113142,24.90010476567411,12.019775752132698,16.732295620785077,9.663711731427375,96.29610853723838,42.89154968951086,458.0117170889803
20,04,500.0,0.07430423951761256,24.724331245780274,11.922379188999248,16.88684513094251,9.65847344772193,96.71400717062836,42.76420809777498,464.9273428591027
21,04,550.0,-0.17786900036088027,24.36064958498737,11.708680002935981,17.192939481127418,9.651237820281485,96.09236196319019,42.57932246206167,477.58340579744566
22,04,600.0,-0.42822988090941877,23.945636954168172,11.415005810788493,17.13378842507372,9.7870245398773,95.8100252616384,42.6896892145649,479.63899969501404
23,04,650.0,-0.6785907614579572,23.530624323348974,11.121331618641007,17.155554956419923,9.902055214723926,96.11226272103934,42.8000559670681,484.33638189097593
24,04,700.0,-0.9289516420064957,23.115611692529775,10.827657426493527,17.25823907516602,10.017085889570552,96.41450018044029,42.91042271957134,491.6755523853312
25,04,750.0,-1.1793125225550343,22.700599061710577,10.533983234346046,17.441840781312017,10.132116564417178,96.71673763984121,43.020789472074576,501.6565111780797
26,04,800.0,-1.3938138323696871,22.385998146268264,10.228817093980014,17.53972148160681,10.260313368936753,96.88028203204308,43.22446511834931,510.7665489164821
27,04,850.0,-1.596841594209295,22.103524738491416,9.919974015588405,17.63235638482458,10.388970296155714,96.99945050094894,43.45799566938941,520.8570851246615
28,04,900.0,-1.799869356048903,21.82105133071457,9.611130937196798,17.768532824889768,10.37131570816966,97.1186189698548,43.69152622042953,532.977926691049
29,04,950.0,-2.0028971178885113,21.538577922937723,9.302287858805188,17.948250801802363,10.353661120183608,97.23778743876065,43.92505677146959,547.1290736156448
30,04,1000.0,-2.2031762247008895,21.295155580200046,8.995824091950302,18.114221354496348,9.352470942011985,97.31600993836507,44.11716489827581,557.6489312983393
31,04,1050.0,-2.394052549638508,21.185321717247117,8.697499632200246,18.135575009351864,8.56763867858133,97.25416174369255,44.16757244209276,550.874875109629
32,04,1100.0,-2.5849288745761267,21.075487854294185,8.399175172450192,18.213224160379877,7.7828064151506755,97.19231354902003,44.217979985909736,546.2018142431057
33,04,1150.0,-2.775805199513745,20.965653991341252,8.100850712700133,18.347168807580356,6.997974151720019,97.1304653543475,44.26838752972674,543.6297486987695
34,04,1200.0,-2.966681524451364,20.85582012838832,7.802526252950078,18.537408950953328,6.213141888289364,97.06861715967497,44.31879507354368,543.1586784766203
35,04,1250.0,-3.157557849388983,20.74598626543539,7.504201793200023,18.783944590498773,5.428309624858708,97.00676896500245,44.369202617360656,544.7886035766581
36,04,1300.0,-3.3484341743266013,20.63615240248246,7.205877333449969,19.0867757262167,4.643477361428053,96.94492077032993,44.41961016117764,548.5195239988828
